"Winter",2023,207547.675
"Winter",2024,219005.275
"Winter",2025,246503.204171382
"Winter",2026,263701.174447093
"Winter",2027,282167.561141102
"Winter",2028,301906.065226164
"Winter",2029,322865.895711212
"Winter",2030,345513.45838826
"Winter",2031,373841.828277536
"Winter",2032,393239.798908409
"Winter",2033,413581.566109489
"Winter",2034,433899.599687862
"Winter",2035,454674.114601554
"Winter",2036,480198.600410116
"Winter",2037,506077.346628625
"Winter",2038,532104.687880964
"Winter",2039,558609.542118948
"Winter",2040,585199.530474874
"Winter",2041,619210.387433122
"Winter",2042,655256.115907843
"Winter",2043,693852.333022762
"Winter",2044,734737.963413855
"Winter",2045,778051.857685694
"Winter",2046,823941.528825987
"Winter",2047,872563.933522367
"Winter",2048,924085.736240857
"Winter",2049,978683.617756532
"Winter",2050,1036545.74377946
"Winter",2051,1067378.84439316
"Winter",2052,1099130.93504559
"Winter",2053,1131830.22315734
"Winter",2054,1165505.88967656
"Winter",2055,1200187.80617173
"Winter",2056,1235907.03785734
"Winter",2057,1272695.64871745
"Winter",2058,1310586.43241967
"Winter",2059,1349613.53680018
"Winter",2060,1389811.66475524
"Winter",2061,1410684.37644756
"Winter",2062,1431867.92302395
"Winter",2063,1453367.75199164
"Winter",2064,1475188.42509828
"Winter",2065,1497335.25400822
"Winter",2066,1519812.53277519
"Winter",2067,1542625.88861693
"Winter",2068,1565780.76174495
"Winter",2069,1589281.77231449
"Winter",2070,1613135.13040879
"Spring",2023,221620.025
"Spring",2024,233941.35
"Spring",2025,230124.961940468
"Spring",2026,246181.582129514
"Spring",2027,263385.020931509
"Spring",2028,281714.665565618
"Spring",2029,301116.316933717
"Spring",2030,322014.166776228
"Spring",2031,348331.052943499
"Spring",2032,366857.859873853
"Spring",2033,386294.448891158
"Spring",2034,405694.087632304
"Spring",2035,425534.621793906
"Spring",2036,450060.049644713
"Spring",2037,475335.811285423
"Spring",2038,503185.764014374
"Spring",2039,531842.200250576
"Spring",2040,560920.542081244
"Spring",2041,593912.508906711
"Spring",2042,628910.529667326
"Spring",2043,666401.358604475
"Spring",2044,706155.28148612
"Spring",2045,748313.015719256
"Spring",2046,793024.40826181
"Spring",2047,840449.127544451
"Spring",2048,890757.037635871
"Spring",2049,944129.189025031
"Spring",2050,1000757.97048841
"Spring",2051,1030960.05880349
"Spring",2052,1062082.29775342
"Spring",2053,1094153.78861905
"Spring",2054,1127204.48763435
"Spring",2055,1161265.58325875
"Spring",2056,1196369.25826424
"Spring",2057,1232548.48586452
"Spring",2058,1269837.5582961
"Spring",2059,1308271.92823024
"Spring",2060,1347887.93683946
"Spring",2061,1368462.34500188
"Spring",2062,1389351.43790319
"Spring",2063,1410560.2261797
"Spring",2064,1432093.80138568
"Spring",2065,1453957.39977178
"Spring",2066,1476156.25297639
"Spring",2067,1498695.76661427
"Spring",2068,1521581.56118915
"Spring",2069,1544819.02451119
"Spring",2070,1568413.95266918
"Summer",2023,203227.35
"Summer",2024,214380.55
"Summer",2025,242842.464343676
"Summer",2026,259976.35845129
"Summer",2027,278343.890160138
"Summer",2028,297951.540674972
"Summer",2029,318758.386513062
"Summer",2030,341200.943283612
"Summer",2031,369253.997389064
"Summer",2032,388698.071180174
"Summer",2033,409106.796307882
"Summer",2034,429494.147182838
"Summer",2035,450356.729131668
"Summer",2036,475946.135182407
"Summer",2037,501898.528651313
"Summer",2038,528016.85833157
"Summer",2039,554620.074507256
"Summer",2040,581327.634498404
"Summer",2041,615206.187765152
"Summer",2042,651118.774169659
"Summer",2043,689583.717164039
"Summer",2044,730338.078586355
"Summer",2045,773521.405396791
"Summer",2046,819282.091153575
"Summer",2047,867778.02119711
"Summer",2048,919176.385371479
"Summer",2049,973655.276760732
"Summer",2050,1031403.96630354
"Summer",2051,1062184.15991928
"Summer",2052,1093885.42770351
"Summer",2053,1126536.40225072
"Summer",2054,1160166.1253122
"Summer",2055,1194805.28646058
"Summer",2056,1230484.60402008
"Summer",2057,1267236.50649175
"Summer",2058,1305094.33485171
"Summer",2059,1344092.12790955
"Summer",2060,1384265.51054292
"Summer",2061,1405128.47340366
"Summer",2062,1426303.85395628
"Summer",2063,1447796.56414931
"Summer",2064,1469611.38487693
"Summer",2065,1491753.54920366
"Summer",2066,1514227.96403025
"Summer",2067,1537039.98545514
"Summer",2068,1560194.69133498
"Summer",2069,1583697.74144008
"Summer",2070,1607554.20373618
"Rainy",2023,219834.1
"Rainy",2024,231945.025
"Rainy",2025,222758.485762114
"Rainy",2026,235250.783419045
"Rainy",2027,254050.724390922
"Rainy",2028,274144.07997565
"Rainy",2029,295269.212984438
"Rainy",2030,318072.650329243
"Rainy",2031,346543.138785698
"Rainy",2032,367778.67146943
"Rainy",2033,390289.048255447
"Rainy",2034,413070.551728656
"Rainy",2035,436662.256568747
"Rainy",2036,465323.954794735
"Rainy",2037,494746.506645063
"Rainy",2038,524761.970896939
"Rainy",2039,555723.743001022
"Rainy",2040,587217.610698862
"Rainy",2041,621955.322798636
"Rainy",2042,658819.243547
"Rainy",2043,698317.530704845
"Rainy",2044,740216.669251981
"Rainy",2045,784667.330511625
"Rainy",2046,831830.140593615
"Rainy",2047,881876.015118637
"Rainy",2048,934986.951869021
"Rainy",2049,991357.153137655
"Rainy",2050,1051193.41394486
"Rainy",2051,1083117.5413016
"Rainy",2052,1116022.0465789
"Rainy",2053,1149938.24695356
"Rainy",2054,1184898.45520396
"Rainy",2055,1220936.12237918
"Rainy",2056,1258085.93786634
"Rainy",2057,1296383.39789848
"Rainy",2058,1335865.57516002
"Rainy",2059,1376570.60419957
"Rainy",2060,1418537.76732652
"Rainy",2061,1440335.56210253
"Rainy",2062,1462469.71752534
"Rainy",2063,1484945.60395606
"Rainy",2064,1507768.71133329
"Rainy",2065,1530944.69294418
"Rainy",2066,1554479.30483118
"Rainy",2067,1578378.25915019
"Rainy",2068,1602647.68378847
"Rainy",2069,1627293.45564205
"Rainy",2070,1652321.7683595
"Autumn",2023,221087.175
"Autumn",2024,233301.8
"Autumn",2025,228957.836058175
"Autumn",2026,243575.575757375
"Autumn",2027,261358.354105646
"Autumn",2028,280323.978571199
"Autumn",2029,300144.359776922
